Candidate ID|Office ID|Election ID|Office Name|Allowed Votes|Candidate First Name|Candidate Last Name|Candidate Credentials|Candidate Bio
28|12|5|Secretary|1|Gregory|Nguyen||
29|12|5|Secretary|1|Adam|Hamilton||
30|12|5|Secretary|1|Shirley|Bradley||
31|13|5|Treasurer|1|John|James||
32|14|5|President|1|Mark|Baker||
33|14|5|President|1|Paul|Howard|DDS|
34|14|5|President|1|Katherine|Fox|BSc|
35|15|5|Vice President|2|Jesse|Washington|PhD|
36|15|5|Vice President|2|Karen|Gonzales|MSW|
37|16|6|Treasurer|1|Jennifer|Perry|BSN|
38|16|6|Treasurer|1|Melissa|Griffin||With a background in psychology and a passion for helping others unlock their full potential, this individual has dedicated their career to the field of coaching and personal development. Through their transformative coaching programs and workshops, they have empowered countless individuals to overcome obstacles, achieve their goals, and live lives of fulfillment and purpose. Their unique blend of empathy, insight, and practical wisdom has made them a trusted guide and mentor to clients seeking to create positive change in their lives.
39|17|6|Vice President|2|Joseph|Gardner||
40|17|6|Vice President|2|Gregory|Young|MPA|
41|18|6|President|1|Sean|Carpenter||
42|18|6|President|1|Marilyn|Shaw|MPH|
43|19|7|President|1|Jacob|Torres|DDS|
44|19|7|President|1|Justin|Gutierrez||
45|20|7|Treasurer|1|Mary|Martinez||
46|21|7|Vice President|1|Benjamin|Stevens||
47|21|7|Vice President|1|Roger|Shaw||
48|21|7|Vice President|1|Joan|Welch||With a background in healthcare and a passion for serving others, this individual has devoted their life to improving the well-being of their community. Whether it's providing compassionate care to patients in need or advocating for policies that promote public health, they have consistently demonstrated a commitment to making a difference. Their unwavering dedication to their profession and their tireless efforts to address the evolving needs of society have earned them the respect and admiration of colleagues and peers alike.
49|21|7|Vice President|1|Laurie|Ortiz|DO|
50|22|7|Secretary|1|Joshua|Brown|RN|
51|22|7|Secretary|1|Cynthia|Harvey||
52|22|7|Secretary|1|Timothy|Welch||
53|22|7|Secretary|1|William|Ross|BA|
54|23|8|President|1|Marilyn|Franklin|MS|
55|23|8|President|1|Douglas|Holmes|MSL|
56|23|8|President|1|Amy|Nichols|LLM|
57|23|8|President|1|Alexander|Frazier|MPhil|
58|24|8|Treasurer|1|Lawrence|Lewis|RN|
59|24|8|Treasurer|1|Richard|Collins|MFA|
60|24|8|Treasurer|1|Raymond|Stephens||
61|24|8|Treasurer|1|Patrick|Perez||
62|25|9|President|1|Wanda|Thomas|MSLIS|
63|25|9|President|1|Austin|Simpson||
64|25|9|President|1|Gerald|Phillips|MSc|
65|25|9|President|1|Sarah|Wilson|MBA|
66|26|10|President|1|Ryan|Warren||
67|27|10|Treasurer|1|Justin|Bishop|BSN|
68|27|10|Treasurer|1|Jason|Holmes||
69|27|10|Treasurer|1|Gabriel|Patterson|PharmD|
70|28|10|Secretary|1|Pamela|Carter||
71|28|10|Secretary|1|Susan|Lane||
72|28|10|Secretary|1|Sharon|Gutierrez|RN|
73|28|10|Secretary|1|Alan|Kim|PhD|
74|29|10|Vice President|2|Lawrence|Berry||
75|29|10|Vice President|2|Brandon|Thompson||
76|29|10|Vice President|2|Bonnie|Johnson||
77|30|11|President|1|Gary|Armstrong|MPA|
78|30|11|President|1|Rebecca|Harper||Armed with a background in finance and a keen eye for market trends, this professional has carved out a niche in the realm of investment banking. Their strategic insights and risk management expertise have propelled them to success, enabling them to navigate complex financial landscapes and deliver exceptional results for their clients.
79|30|11|President|1|Dennis|Murphy|PsyD|
80|31|11|Treasurer|1|Joan|Dean||A dedicated advocate for social justice and equality, this individual has spent their career working tirelessly to empower marginalized communities and promote positive change. Through their work in grassroots organizing and policy advocacy, they have made significant strides towards creating a more inclusive and equitable society for all.
81|31|11|Treasurer|1|Jose|Arnold||
82|32|12|Secretary|1|Sarah|Burns|DPT|
83|32|12|Secretary|1|Anne|Holland||
84|32|12|Secretary|1|Victoria|Henderson||
85|32|12|Secretary|1|Mildred|Lynch|MFA|
86|33|12|Treasurer|1|Sara|Burton||
87|34|13|Secretary|1|Ronald|Jackson||
88|34|13|Secretary|1|Sandra|Nichols||
89|35|13|Treasurer|1|Douglas|Hicks|PhD|
90|36|13|Vice President|2|Gerald|Ellis|BSN|
91|36|13|Vice President|2|Laura|Bishop||
92|36|13|Vice President|2|Shirley|Lawson|BA|As a seasoned journalist, this individual has made a name for themselves by fearlessly pursuing truth and shedding light on pressing social and political issues. Their commitment to journalistic integrity and investigative reporting has earned them respect within the industry and sparked meaningful conversations that drive societal change.
93|37|14|Vice President|2|Jacob|West|MPH|
94|38|14|Treasurer|1|Thomas|Grant|OD|
95|38|14|Treasurer|1|Jason|Brewer||
96|38|14|Treasurer|1|Joe|Palmer|DC|
97|38|14|Treasurer|1|Victoria|Porter|DDS|
98|39|14|President|1|Ethan|Tucker|MSc|
99|39|14|President|1|Angela|Ford||
100|40|15|President|1|Gabriel|Alvarez||
101|40|15|President|1|Paul|Griffin|RN|
102|40|15|President|1|Rebecca|Gilbert|MFA|
103|41|15|Secretary|1|Janet|Green|BA|
104|41|15|Secretary|1|Lisa|Ferguson|MPH|
105|42|16|President|1|Kathleen|Stevens|LLM|
106|42|16|President|1|Adam|Washington||
107|42|16|President|1|Bonnie|Griffin|MSLIS|
108|43|16|Secretary|1|Andrew|Little|BA|
109|44|16|Vice President|2|Susan|Snyder|LLM|
110|44|16|Vice President|2|Martha|Hansen||
111|45|17|President|1|Samuel|Porter|PhD|
112|46|17|Secretary|1|Roger|Price||
113|46|17|Secretary|1|Sara|Cook||
114|46|17|Secretary|1|Doris|Meyer||
115|47|18|Vice President|2|Lawrence|Reynolds||
116|47|18|Vice President|2|Martha|Lewis|MD|
117|48|18|Secretary|1|Rose|Murray|JD|
118|48|18|Secretary|1|Angela|Howell|OD|
119|48|18|Secretary|1|Vicki|Hayes||
120|49|18|Treasurer|1|George|Jacobs|MSLIS|With a background in technology and a flair for innovation, this individual has played a key role in driving digital transformation across a wide range of industries. Their expertise in software development and project management has enabled organizations to streamline operations, increase efficiency, and stay ahead of the curve in an ever-evolving marketplace.
121|49|18|Treasurer|1|Susan|Henry|MEd|
122|49|18|Treasurer|1|Nicholas|Vasquez||
123|49|18|Treasurer|1|Rachel|Carroll|MSc|A visionary leader with a flair for strategic thinking, this individual has built a reputation for driving organizational growth and success. With a background in business management and a track record of navigating complex challenges, they have spearheaded initiatives that have propelled companies to new heights. Their ability to inspire and motivate teams, coupled with their unwavering dedication to achieving results, has earned them recognition as a transformative force in the business world.
124|50|19|Vice President|2|Brandon|Bryant||
125|50|19|Vice President|2|Patrick|Burke||
126|51|19|Treasurer|1|Daniel|Mills||
127|51|19|Treasurer|1|Adam|Bell||
128|52|20|Secretary|1|Tyler|Chapman|DDS|With a background in finance and a keen eye for detail, this individual has established themselves as a trusted advisor in the world of investment management. Their strategic insights and prudent decision-making have consistently delivered strong returns for their clients, earning them a reputation as a savvy investor and a thought leader in the financial sector.
129|52|20|Secretary|1|Jeffrey|Pierce||
130|52|20|Secretary|1|Virginia|Hunt|MPH|
131|52|20|Secretary|1|Adam|Owens||
132|53|20|President|1|Betty|Price||
133|53|20|President|1|Carol|Ramirez||
134|53|20|President|1|Henry|Adams|MSW|
135|54|20|Treasurer|1|Gregory|Pierce|DDS|
136|54|20|Treasurer|1|John|Bennett|OD|
137|54|20|Treasurer|1|Kathy|Scott|DPT|
138|54|20|Treasurer|1|Steven|Rivera||
139|55|21|Secretary|1|Douglas|Carter||
140|55|21|Secretary|1|Olga|Franklin||
141|56|22|Treasurer|1|Ethan|Stone||
142|57|22|Secretary|1|Raymond|Fernandez|MSL|
143|57|22|Secretary|1|Gregory|Murray||
144|58|23|Vice President|1|Arthur|Robertson||A dedicated advocate for social justice and equality, this individual has spent their career working tirelessly to empower marginalized communities and promote positive change. Through their work in grassroots organizing and policy advocacy, they have made significant strides towards creating a more inclusive and equitable society for all.
145|59|23|Treasurer|1|Dennis|Russell||
146|59|23|Treasurer|1|Jerry|Little|DVM|
147|59|23|Treasurer|1|Debra|Burns|MSc|
148|60|23|President|1|Andrew|Nelson||
149|61|24|President|1|Emily|Chapman||
150|62|25|Treasurer|1|Victoria|Thompson|MD|
151|62|25|Treasurer|1|Elizabeth|Jordan|MSc|
152|62|25|Treasurer|1|Darlene|Gilbert||
153|63|25|Vice President|1|Nicholas|Fowler||
154|63|25|Vice President|1|Peter|Bell||
155|64|25|Secretary|1|Joseph|Simpson||
156|64|25|Secretary|1|Martha|Garza|MBA|
157|64|25|Secretary|1|Janet|Nichols|BA|
158|65|26|Secretary|1|Donald|Ortiz|MPA|
159|65|26|Secretary|1|Nathan|Hawkins|DDS|
160|66|27|President|1|Arthur|Grant|JD|
161|66|27|President|1|Edward|Nichols||
162|66|27|President|1|Virginia|Lane|MPH|
163|66|27|President|1|Ronald|Murray||
164|67|27|Secretary|1|Kenneth|Bailey|MFA|
165|67|27|Secretary|1|Peter|Jones||
166|68|27|Vice President|1|Patricia|Murray|DC|
167|68|27|Vice President|1|Christine|Cook||
168|69|27|Treasurer|1|Douglas|Peters||
169|70|28|Treasurer|1|Cynthia|King||
170|70|28|Treasurer|1|Gary|Ferguson|DO|
171|70|28|Treasurer|1|Roger|Hamilton||
172|71|28|Vice President|1|Matthew|Rice||
173|71|28|Vice President|1|Carl|Anderson|MSc|
174|72|28|Secretary|1|Donald|Ramos|BSN|
175|73|29|Vice President|1|Wayne|Marshall|BSc|
176|73|29|Vice President|1|Emily|Gilbert|EdD|
177|74|29|Treasurer|1|Jean|Alexander||
178|74|29|Treasurer|1|Harold|Stevens||
179|74|29|Treasurer|1|Christine|Hill|DC|
180|74|29|Treasurer|1|William|Olson||
181|75|29|Secretary|1|Kathleen|Payne||This individual's journey in the field of social work has been marked by a steadfast dedication to serving vulnerable populations and advocating for social justice. Their tireless efforts to empower individuals and communities facing adversity have made a lasting impact, fostering positive change and resilience in the face of systemic challenges.
182|75|29|Secretary|1|Andrew|Ray|PharmD|
183|75|29|Secretary|1|Christine|Garcia|MSL|
184|76|29|President|1|Angela|Price|MFA|
185|77|30|Vice President|2|Scott|Wood||
186|78|30|Treasurer|1|Sara|Cunningham||
187|78|30|Treasurer|1|Andrew|Rice|DC|
188|79|31|President|1|Deanna|Arnold|MFA|
189|79|31|President|1|Wayne|Castillo|MEd|
190|80|31|Secretary|1|Kathy|Green|DVM|
191|80|31|Secretary|1|Deanna|Turner||
192|80|31|Secretary|1|Judith|Shaw||
193|81|31|Treasurer|1|Frances|White||A visionary leader with a flair for strategic thinking, this individual has built a reputation for driving organizational growth and success. With a background in business management and a track record of navigating complex challenges, they have spearheaded initiatives that have propelled companies to new heights. Their ability to inspire and motivate teams, coupled with their unwavering dedication to achieving results, has earned them recognition as a transformative force in the business world.
194|81|31|Treasurer|1|Austin|Marshall||
195|81|31|Treasurer|1|Nancy|Howard|DC|
196|82|31|Vice President|2|Karen|Simpson||
197|83|32|Vice President|1|Diana|Burns||
198|83|32|Vice President|1|Eugene|Barnes|MS|
199|83|32|Vice President|1|Julie|Pierce|LLM|
200|83|32|Vice President|1|Debra|Perez||As a seasoned educator and advocate for lifelong learning, this individual has dedicated their career to empowering others through education. With a deep-rooted belief in the transformative power of knowledge, they have championed initiatives to improve access to education for all, regardless of background or circumstance. Their innovative teaching methods and commitment to fostering a culture of inclusivity have inspired countless students to reach their full potential and make a positive impact on the world.
201|84|33|President|1|Samuel|Sullivan||
202|84|33|President|1|Harold|Henry||
203|85|33|Vice President|1|Phyllis|Rogers||
204|86|33|Treasurer|1|Dennis|Ellis|DDS|
205|87|33|Secretary|1|Joshua|Howard|EdD|
206|87|33|Secretary|1|Rachel|Weaver||
207|88|34|Vice President|1|Carolyn|Phillips|MBA|A seasoned journalist and storyteller, this individual has spent their career shining a light on important issues and giving voice to the voiceless. Whether it's reporting from conflict zones around the world or uncovering corruption and injustice in their own community, they have demonstrated a fearless commitment to truth and integrity in journalism. Their dedication to holding power to account and amplifying marginalized voices has earned them recognition as a trusted and respected journalist.
208|88|34|Vice President|1|Steven|Reyes||
209|89|35|Vice President|1|Gerald|Greene|DDS|
210|89|35|Vice President|1|Doris|Gonzales||
211|89|35|Vice President|1|Timothy|Rogers|MSL|
212|89|35|Vice President|1|Sarah|Hanson||
213|90|36|Vice President|2|Louis|Hoffman||
214|90|36|Vice President|2|Jose|Pierce||
215|91|36|Treasurer|1|Julie|Wright|DO|
216|91|36|Treasurer|1|Mary|Daniels||
217|92|36|Secretary|1|Dennis|Bell||
218|92|36|Secretary|1|Lisa|Webb||
219|92|36|Secretary|1|Ryan|Mills|MS|
220|92|36|Secretary|1|Teresa|Hill||A tireless advocate for environmental conservation and sustainable development, this individual has dedicated their career to protecting our planet for future generations. Through their work in research, education, and advocacy, they have raised awareness about pressing environmental issues and mobilized communities to take action in defense of our natural world.
221|93|36|President|1|Maria|Hernandez||
222|94|37|Vice President|1|Brenda|Bennett|PharmD|With a background in law and a passion for social justice, this individual has dedicated their career to fighting for the rights of the most vulnerable members of society. As a legal advocate and activist, they have worked tirelessly to challenge systemic injustice and hold those in power accountable for their actions.
223|94|37|Vice President|1|Emily|Hawkins|MSLIS|
224|94|37|Vice President|1|Sara|Price||
225|94|37|Vice President|1|Kevin|Daniels|DDS|
226|95|37|Treasurer|1|Edna|Reynolds||
227|96|37|Secretary|1|Darlene|Welch||
228|96|37|Secretary|1|Edward|Lynch|OD|
229|96|37|Secretary|1|David|Allen||
230|97|37|President|1|Diane|Ryan|MFA|Armed with a background in finance and a keen eye for market trends, this professional has carved out a niche in the realm of investment banking. Their strategic insights and risk management expertise have propelled them to success, enabling them to navigate complex financial landscapes and deliver exceptional results for their clients.
231|97|37|President|1|Anne|Parker|MEd|
232|97|37|President|1|Brenda|Hunter|JD|
233|97|37|President|1|Rebecca|Riley|MFA|
234|98|38|President|1|Robert|Alvarez||
235|98|38|President|1|Gabriel|Price|PsyD|
236|99|38|Secretary|1|Justin|Duncan||
237|99|38|Secretary|1|Mildred|Lewis||
238|99|38|Secretary|1|Jean|Scott||
239|100|39|Vice President|2|Andrew|Montgomery||
240|101|39|Treasurer|1|Melissa|Shaw|MBA|Armed with a deep understanding of human behavior and a commitment to improving mental health outcomes, this individual has dedicated their career to providing compassionate care and support to those in need. Their work as a therapist and counselor has touched the lives of countless individuals, helping them navigate life's challenges and find hope in difficult times.
241|101|39|Treasurer|1|Timothy|Sullivan|MFA|
242|102|39|Secretary|1|Donald|Thompson|MBA|A tireless advocate for environmental conservation and sustainable development, this individual has dedicated their career to protecting our planet for future generations. Through their work in research, education, and advocacy, they have raised awareness about pressing environmental issues and mobilized communities to take action in defense of our natural world.
243|102|39|Secretary|1|Scott|Ruiz||
244|102|39|Secretary|1|Daniel|Romero|OD|
245|103|39|President|1|Raymond|Ferguson|PharmD|
246|103|39|President|1|Adam|Washington||With a background in environmental science and a passion for conservation, this individual has dedicated their career to protecting our planet for future generations. Through their research and advocacy work, they have raised awareness about the urgent need to address pressing environmental issues such as climate change and biodiversity loss. Their tireless efforts to promote sustainable practices and preserve natural habitats have made a significant impact on efforts to safeguard our planet's fragile ecosystems.
247|103|39|President|1|Dorothy|Robertson||
248|103|39|President|1|Christian|Richardson|RN|
249|104|40|President|1|Cynthia|Long|MSL|
250|104|40|President|1|Thomas|Graham|DPT|
251|105|41|Treasurer|1|Carol|Hunter|MSW|
252|105|41|Treasurer|1|Thomas|White|MSc|
253|105|41|Treasurer|1|Sharon|Edwards||
254|106|42|Secretary|1|Olga|Carroll||
255|106|42|Secretary|1|Henry|Lynch||
256|107|42|Vice President|2|Brenda|Hanson|DVM|
257|107|42|Vice President|2|Scott|Williams|PharmD|
258|108|42|Treasurer|1|Gerald|Jordan|PharmD|With a background in software engineering and a knack for problem-solving, this individual has played a pivotal role in developing cutting-edge technology solutions for businesses across industries. Their innovative mindset and collaborative spirit have led to the creation of software platforms that streamline operations and drive organizational growth.
259|109|42|President|1|Timothy|Walker|MS|
260|109|42|President|1|Marilyn|Simmons||
261|110|43|Secretary|1|Sarah|West|BSc|
262|110|43|Secretary|1|Emily|Ford|MDiv|
263|111|44|President|1|Ronald|Bennett||
264|112|44|Vice President|1|Emma|Lawson||
265|113|44|Secretary|1|Edna|Daniels|OD|
266|114|45|Vice President|2|Scott|Ray|MSL|
267|114|45|Vice President|2|Amanda|George|RN|
268|114|45|Vice President|2|Lisa|Myers||
269|114|45|Vice President|2|Justin|Simmons||
270|115|45|Secretary|1|Andrew|Cruz||
271|115|45|Secretary|1|Ethan|Medina|MFA|
272|115|45|Secretary|1|Terri|Hunter|MSLIS|
273|116|45|President|1|Harold|Schmidt||
274|116|45|President|1|Vicki|Cunningham|MPA|
275|116|45|President|1|Diana|Peterson|RN|
276|116|45|President|1|Alexander|Silva||
277|117|45|Treasurer|1|Albert|Wallace|BSN|
278|117|45|Treasurer|1|Kyle|Ortiz|DPT|
279|118|46|Treasurer|1|Alice|Snyder|MDiv|
280|119|46|President|1|Samuel|Hunt|LLM|
281|119|46|President|1|Austin|Carter|PharmD|
282|119|46|President|1|Susan|Moore|MD|
283|120|46|Secretary|1|Brian|Carr||
284|120|46|Secretary|1|Betty|Murphy|MSL|
285|120|46|Secretary|1|Sara|Cole||Armed with a deep understanding of human behavior and a commitment to improving mental health outcomes, this individual has dedicated their career to providing compassionate care and support to those in need. Their work as a therapist and counselor has touched the lives of countless individuals, helping them navigate life's challenges and find hope in difficult times.
286|121|47|Vice President|2|Lisa|Woods||
287|121|47|Vice President|2|Kenneth|Daniels|MPA|
288|122|48|Vice President|1|Michelle|Henry|OD|
289|122|48|Vice President|1|Dorothy|Sullivan||
290|122|48|Vice President|1|Kyle|Owens|MSLIS|
291|123|49|President|1|Joshua|Lopez|DVM|With a background in finance and a keen eye for detail, this individual has established themselves as a trusted advisor in the world of investment management. Their strategic insights and prudent decision-making have consistently delivered strong returns for their clients, earning them a reputation as a savvy investor and a thought leader in the financial sector.
292|123|49|President|1|Deborah|Rodriguez||
293|123|49|President|1|Deborah|Lawson|DDS|
294|124|49|Treasurer|1|Charles|Carr||
295|125|49|Secretary|1|Adam|Powell|MS|
296|125|49|Secretary|1|Joseph|Little|OD|
297|126|49|Vice President|1|Samuel|Myers||
298|126|49|Vice President|1|Diana|Simmons||A trailblazing entrepreneur with a knack for spotting opportunities and turning ideas into reality, this individual has built a reputation for success in the world of business. From launching innovative startups to leading established companies through periods of growth and transformation, they have demonstrated an uncanny ability to navigate the complexities of the business world. With a strategic mindset and a willingness to take calculated risks, they continue to push the boundaries of what's possible and inspire others to dream big.
299|126|49|Vice President|1|Dylan|Frazier|BSc|
300|126|49|Vice President|1|Betty|Owens||
301|127|50|Treasurer|1|Zachary|Martin||
302|127|50|Treasurer|1|Gloria|Weaver|PhD|
303|128|51|Secretary|1|Richard|Coleman||
304|128|51|Secretary|1|Jesse|Tucker|DO|
305|128|51|Secretary|1|Wanda|Torres|MSLIS|
306|128|51|Secretary|1|Marilyn|Brooks||
307|129|51|President|1|Harry|Gonzalez||
308|130|52|Treasurer|1|Jennifer|Thomas|BSc|
309|130|52|Treasurer|1|Joshua|Thompson||
310|130|52|Treasurer|1|Willie|Johnson|DC|
311|130|52|Treasurer|1|Joan|Campbell|RN|
312|131|52|President|1|Noah|Collins||
313|132|52|Vice President|2|Tyler|Henry||
314|132|52|Vice President|2|Louise|Burns|MSLIS|
315|132|52|Vice President|2|Phyllis|Martin||
316|132|52|Vice President|2|Jose|Jones|OD|
317|133|53|Vice President|1|Samuel|Johnson||
318|133|53|Vice President|1|Juan|Pierce|MSW|
319|133|53|Vice President|1|Bonnie|Harrison||
320|133|53|Vice President|1|Karen|Wagner||
321|134|53|Treasurer|1|Susan|Armstrong||
322|134|53|Treasurer|1|Benjamin|Davis||A seasoned journalist and storyteller, this individual has spent their career shining a light on important issues and giving voice to the voiceless. Whether it's reporting from conflict zones around the world or uncovering corruption and injustice in their own community, they have demonstrated a fearless commitment to truth and integrity in journalism. Their dedication to holding power to account and amplifying marginalized voices has earned them recognition as a trusted and respected journalist.
323|134|53|Treasurer|1|Richard|Harper|DVM|
324|135|53|Secretary|1|Raymond|Vasquez||
325|135|53|Secretary|1|Amy|Collins|BSN|
326|135|53|Secretary|1|Lawrence|Stanley||With a background in environmental science and a passion for conservation, this individual has dedicated their career to protecting our planet for future generations. Through their research and advocacy work, they have raised awareness about the urgent need to address pressing environmental issues such as climate change and biodiversity loss. Their tireless efforts to promote sustainable practices and preserve natural habitats have made a significant impact on efforts to safeguard our planet's fragile ecosystems.
327|136|54|Secretary|1|Ethan|Watson|DC|
328|136|54|Secretary|1|Heather|Hamilton|MSc|
329|136|54|Secretary|1|Doris|Anderson||
330|136|54|Secretary|1|Edna|Harvey|MPH|A seasoned journalist and storyteller, this individual has spent their career shining a light on important issues and giving voice to the voiceless. Whether it's reporting from conflict zones around the world or uncovering corruption and injustice in their own community, they have demonstrated a fearless commitment to truth and integrity in journalism. Their dedication to holding power to account and amplifying marginalized voices has earned them recognition as a trusted and respected journalist.
331|137|54|President|1|Patrick|Payne|MSLIS|
332|137|54|President|1|Jacob|Lee|MPH|
333|138|54|Treasurer|1|Wanda|Mcdonald|MSW|
334|138|54|Treasurer|1|Kathy|Bishop|RN|
335|138|54|Treasurer|1|Michael|Pearson||
336|138|54|Treasurer|1|Janice|Matthews|EdD|
337|139|54|Vice President|1|Benjamin|Stephens||
338|139|54|Vice President|1|Kathleen|Mason||
339|139|54|Vice President|1|Angela|Medina||
340|140|55|President|1|Jonathan|Boyd||
341|140|55|President|1|Jordan|Lawson||
342|140|55|President|1|Joshua|Bradley|JD|
343|141|55|Secretary|1|Bonnie|Ross|BSc|
344|141|55|Secretary|1|Patrick|Ray|RN|
345|142|56|Vice President|1|Shirley|Thompson||
346|143|56|Secretary|1|Gabriel|Andrews|OD|
347|143|56|Secretary|1|Richard|Morrison|DO|
348|143|56|Secretary|1|Willie|Allen||
349|144|56|President|1|William|Morgan|BA|
350|144|56|President|1|Andrew|Crawford||
351|145|56|Treasurer|1|Dorothy|Bowman||
352|146|57|Treasurer|1|Kathleen|Elliott||
353|146|57|Treasurer|1|Raymond|Diaz|BSc|
354|146|57|Treasurer|1|Lawrence|Alexander||
355|146|57|Treasurer|1|Alan|Johnston|PharmD|
356|147|58|Treasurer|1|Ronald|Ryan|RN|
357|148|59|Secretary|1|Andrew|Bailey||
358|148|59|Secretary|1|Kathryn|Rogers|RN|This individual's journey in the field of social work has been marked by a steadfast dedication to serving vulnerable populations and advocating for social justice. Their tireless efforts to empower individuals and communities facing adversity have made a lasting impact, fostering positive change and resilience in the face of systemic challenges.
359|149|59|Treasurer|1|Sarah|Graham||
360|150|60|Treasurer|1|Paul|Fisher|MFA|A dedicated advocate for social justice and equality, this individual has spent their career working tirelessly to empower marginalized communities and promote positive change. Through their work in grassroots organizing and policy advocacy, they have made significant strides towards creating a more inclusive and equitable society for all.
361|151|60|Vice President|1|Lisa|Hansen|MPA|
362|151|60|Vice President|1|Jonathan|Olson||
363|151|60|Vice President|1|Jerry|Williams|BA|
364|151|60|Vice President|1|Carl|Banks|PsyD|
365|152|60|Secretary|1|Debra|Morris|MPhil|
366|153|60|President|1|Jean|Wright||
367|153|60|President|1|Angela|Cox|PharmD|
368|153|60|President|1|Andrew|Lee||
369|154|61|Secretary|1|Victoria|Chavez||
370|155|61|Vice President|2|Sarah|Lopez||
371|155|61|Vice President|2|John|Moore||
372|156|61|President|1|Sharon|Fields||A seasoned educator with a flair for curriculum development, this individual has spent years shaping the minds of future generations. Their commitment to fostering a love of learning and critical thinking skills among students has earned them accolades from colleagues and students alike, establishing them as a respected figure in the field of education.
373|156|61|President|1|Scott|Perkins||
374|157|61|Treasurer|1|Betty|Jackson|DC|
375|157|61|Treasurer|1|Scott|Holland|LLM|
376|157|61|Treasurer|1|Charles|Young|MEd|
377|158|62|Secretary|1|Kevin|Castillo||
378|158|62|Secretary|1|Anna|Stephens|MSL|
379|158|62|Secretary|1|Kathleen|Frazier||
380|158|62|Secretary|1|Kathleen|Carter|EdD|
381|159|63|President|1|Janet|Shaw||
382|160|63|Secretary|1|Thomas|Robinson|EdD|
383|160|63|Secretary|1|Benjamin|Daniels|MSLIS|Armed with a deep understanding of human behavior and a commitment to improving mental health outcomes, this individual has dedicated their career to providing compassionate care and support to those in need. Their work as a therapist and counselor has touched the lives of countless individuals, helping them navigate life's challenges and find hope in difficult times.
384|160|63|Secretary|1|Shirley|Knight||
385|160|63|Secretary|1|Brenda|Owens||Armed with a background in healthcare and a commitment to improving patient outcomes, this individual has made significant contributions to the field of medical research. Their groundbreaking discoveries and innovative treatments have saved countless lives and paved the way for new advancements in the fight against disease.
386|161|64|Secretary|1|Elizabeth|Hayes|MD|
387|161|64|Secretary|1|Henry|Fox|MSLIS|
388|161|64|Secretary|1|Harold|Lane||
389|161|64|Secretary|1|Dorothy|Boyd|DDS|
390|162|65|Treasurer|1|Terri|Nguyen|MSW|
391|163|65|President|1|Louise|Ellis||
392|163|65|President|1|Susan|Walker||With a background in healthcare and a passion for serving others, this individual has devoted their life to improving the well-being of their community. Whether it's providing compassionate care to patients in need or advocating for policies that promote public health, they have consistently demonstrated a commitment to making a difference. Their unwavering dedication to their profession and their tireless efforts to address the evolving needs of society have earned them the respect and admiration of colleagues and peers alike.
393|163|65|President|1|Anthony|Rose|EdD|
394|164|66|President|1|Joseph|Morrison||
395|164|66|President|1|Teresa|Rose|PharmD|
396|164|66|President|1|Bonnie|Allen|OD|
397|164|66|President|1|Sarah|Nichols|MSL|
398|165|66|Vice President|2|Sarah|Mills|MD|
399|165|66|Vice President|2|Ronald|Jacobs||
400|165|66|Vice President|2|Paul|Austin||
